Compte;libellé;sens;Numéro Agence SCE
1___________;CAPITAUX PERMANENTS;CREDIT;NULL
101_________;CAPITAL;CREDIT;9
101100000000;CAPITAL SOCIAL;CREDIT;9
12__________;RESERVES;CREDIT;9
121_________;RESERVES LEGALES;CREDIT;9
121100000000;RESERVES LEGALES;CREDIT;9
123_________;RESERVES FACULTATIVES;Crédit;9
123100000000;RESERVES FACULTATIVES;CREDIT;9
13__________;REPORT A NOUVEAU;Crédit;9
131_________;BENEFICES NON AFFECTEES;Crédit;9
131100000000;BENEFICES NON AFFECTEES;CREDIT;9
132_________;PERTES NON COMPENSEES;Crédit;9
132100000000;PERTES NON COMPENSEES;CREDIT;9
14__________;PROV.SPECIALES & RES REGL;Crédit;9
142_________;ECART DE REEVALUAT°DES IMMOB AMORT.;Crédit;9
1421________;ECART REEVAL IMMO AMORTISSABLES;CREDIT;9
142100000000;ECART REEVALUAT° IMMOB AMORTISSABLE;CREDIT;9
143_________;ECART DE REEVALUATION IMMO NON AMORTISA;CREDIT;9
143100000000;ECART DE REEVALUATION TERRAINS D'EXPL;CREDIT;9
16__________;FONDS DE FINANCEMENT ET DE GARANTIE;CREDIT;9
162100000000;FOND D'AFFECTATION DEFINITIVEMENT ACQUIS;CREDIT;9
162110000000;FOND D'AFFECTAT° DE BONIFICAT° INT.DEFINIV.ACQUIS;CREDIT;9
162120000000;FOND D'AFFECTAT° DE GARANTIE AVAL DEFINIV.ACQUIS;CREDIT;9
162130000000;FOND D'AFFECTAT° DE FINAN DES ETUDE DEFINIT.ACQUIS;CREDIT;9
162140000000;FOND D'AFFECTAT° DE FINAN PARTICIP.DEFINIV.ACQUIS;CREDIT;9
162150000000;AUTRES FONDS D'AFFECTATION DEFINITIVEMENT ACQUIS;CREDIT;9
162200000000;AUTRES FOND D'AFFECTATION;CREDIT;9
162210000000;FOND D'AFFECTAT° DE BONIFICAT° INT. NON DEFINIT.AC;CREDIT;9
162220000000;FOND D'AFFECTAT° DE GARANTIE AVAL NON DEFINIT.AC;CREDIT;9
